Student Number,PH-121,HS-101,CY-105,HS-105/12,MT-111,CS-105,CS-106,EL-102,EE-119,ME-107,CS-107,HS-205/20,MT-222,EE-222,MT-224,CS-210,CS-211,CS-203,CS-214,EE-217,CS-212,CS-215,MT-331,EF-303,HS-304,CS-301,CS-302,TC-383,MT-442,EL-332,CS-318,CS-306,CS-312,CS-317,CS-403,CS-421,CS-406,CS-414,CS-419,CS-423,CS-412
97001,45.88,12.92,22.46,33.85,15.64,7.8,5.57,22.3,54.38,20.73,21.06,69.97,5.73,83.05,49.36,39.1,6.59,12.52,9.32,90.97,7.19,21.04,32.07,19.67,44.11,56.72,27.97,38.89,71.92,31.48,20.65,26.82,24.67,23.88,23.82,24.1,82.02,86.99,22.61,64.47,75.35
97002,92.53,7.57,11.81,14.34,50.42,33.65,7.49,87,8.53,12.88,71.28,39.61,45.81,23.57,7.75,5.91,5.33,33.03,5.08,53.95,28.96,6.29,11.32,7.74,23.13,75.82,11.8,19.27,19.65,29.68,82.26,10.4,10.2,10.38,27.06,13.05,75.13,48.15,32.86,31.75,64.66
97003,91.37,61.05,91.05,54.85,73.69,92.87,53.31,68.97,78.22,78.07,46.09,81.87,90.28,93.87,89.34,90.64,98.66,92.03,80.79,93.88,84.6,86.63,91.62,37.53,91.2,68.47,75.19,56.94,85.13,69.44,76.57,81.9,64.73,64.64,89.87,29.65,85.99,89.94,86.47,82.34,94.12
97004,6.97,42.26,5.62,13.75,14.01,80.98,12.64,22.4,12.96,39.35,6.87,56.73,13.82,46.4,12.5,25.06,69.46,43.52,14.53,8.57,5.16,5.09,6.42,9.23,53.55,9.85,45.09,14.84,15.1,10.38,66.17,19.23,10.75,28.6,13.05,20.91,52.74,55.19,35.37,41.31,42.62
97005,82.19,80.42,83.96,74.45,87.34,86.71,75.17,71.7,87.01,80.12,29.54,85.39,94.27,80.95,78.31,83.78,47.04,90.66,75.56,94.25,82.96,77.16,43.57,22.22,75.98,49.42,80.39,43.85,82.16,78.04,48.96,79.93,53.04,74.89,67.72,47.42,77.16,87.13,80.49,75.78,85.15
97006,92.71,45.66,58.68,10.24,35.72,81.47,39.59,64.05,68.88,73.7,17.23,84.55,52.26,65.34,84.53,67.7,59.18,78.59,55.55,83.63,84.2,40.72,73.36,15.69,82.52,47.62,38.85,59.97,83.24,76.16,50.45,72.94,26.4,54.78,42.47,38.74,79,79.38,74.34,50.9,61.13
97007,50.27,22.58,83.08,9.01,82.93,56.37,94.48,73.44,83.67,74.94,83.2,89.91,28.38,41.49,18.34,51.82,50.58,73.99,29.77,90.03,35.23,24.52,44.99,43.34,71.29,66.82,60.89,20.13,67.83,75.43,31.98,43.23,46.12,25.48,67.11,54.4,85.43,78.04,66.4,70.57,93.12
97008,74.97,69.44,38.4,27.81,32.06,84.08,16.2,76.15,56.72,79.62,65.89,90.56,73.22,66.8,30.13,81.18,72.18,76.79,32.17,76.94,36.37,34.61,31.97,39.3,83.32,13.68,84.55,28.59,77.31,58.61,61.87,67.3,6.61,71.08,68.71,33.76,91.3,73.82,84.96,84.39,83.29
97009,78.6,29.48,82.4,5.27,58.65,75.31,84.1,77.22,73.62,80.47,84.82,87.02,88.48,83.69,47.8,83.08,83.98,86.41,50.43,96.1,36.42,41.24,77.51,20.76,69.84,64.87,56.95,69.88,90.04,81.32,68.36,77.62,74.25,57.62,53.75,40.6,89.07,76.15,73.94,83.99,89.84
97010,94.89,58.46,35.71,64.36,62.45,83.05,30.65,47.21,82.15,91.25,40.4,82.16,53.34,92.37,80.5,91.53,54.12,87.44,47.6,82.47,54.72,77.48,60.31,69.43,81.55,49.09,47.62,38.7,60.72,65.96,45.68,84.86,36.88,53.33,70.84,50.71,88.41,86.96,84.12,63.23,85.3
